"Alcohol","3 doz. & 2 bottles of White Lisbon",120.4831696
"Alcohol","3 doz. of Red Port",309.2616119
"Alcohol","4 doz. & 2 bottles of brandy",72.4831903
"Alcohol","12 Pottle Bottles of french do",115.9731045
"Alcohol","To Capt. Posfords Accot",441.342092
"Alcohol","6½ doz. Madera Wine",154.630806
"Alcohol","3 Doz. of White Lisbon",115.9731045
"Alcohol","25 Gallons of French Brandy",386.5770149
"Alcohol","6 Doz. & 3 bottles of English beer",106.3086791
"Alcohol","4 Doz. of Bristoll Beer",23.1946209
"Food","5 Gallons of Anniseed Water",38.65770149
"Alcohol","To Sundry Liquors & bottles",36.72481642
"Brew","1 box & 2 funnells",5.798655224
"Brew","6 Corks & Mollasses",112.1073343
"Cookware","Sugar & pipes",125.6375298
"Generic","1 pott of Tammans & 1 hammer",4.832212686
"Cookware","2 Corks",7.731540298
"Generic","Pipes",9.664425373
"Alcohol","8 doz. of Wine",115.9731045
"Generic","3 Cart hoops",11.59731045
"Generic","3 Skins",17.39596567
"Generic","1 Spade",4.832212686
"Generic","Currents Reasons & Lumber",193.2885075
"Cleaning","1 Mopp",2.899327612
"Generic","1 ps. of Iron",1.932885075
"Chickens","3 Cocks",28.99327612
"Generic","To Sundry Goods",115.9731045
"Cookware","Bottles",10.63086791
"Food","A Runlet of honey",19.32885075
"Generic","A Basket of Pipes",9.664425373
"Generic","1 Case",9.664425373
"Generic","1 Do",3.865770149
"Generic","3 Runletts",7.731540298
"Alcohol","11 Bottles of Lisbon",34.79193134
"Diningware","11 punch Bowl",2.899327612
"Interior Lighting","4 doz. of Candle Moles",154.630806
"Textile","Hemp",15.4630806
"Generic","3 Runletts",7.731540298
"Generic","3 Gros Pipes",11.59731045
"Food","5 Gallons Pickel",9.664425373
"Generic","1 Box of [Rafles?]",34.79193134
"Cookware","15 pickle Bottles",12.08053172
"Generic","1 Raskin Do",7.731540298
"Food","3 Juggs of Oyle",19.32885075
"Generic","4 Stone Juggs",3.865770149
"Generic","1 Raskin Bottle",7.731540298
"Generic","4 Stone Juggs",23.1946209
"Generic","2 pr. Farriers & 1 bottle [C ana?]",7.731540298
"Cookware","2 Iron Potts",33.82548881
"Generic","4 Narrow hoes",9.664425373
"Generic","1 Sett of Iron Wedges",9.664425373
"Bed","2 beds",28.99327612
"Generic","1 pail",77.31540298
"Generic","Old Iron",1.932885075
"Slaves","1 Negro man named Toney",1546.30806
"Farm Animals","1 Mare & Colt",77.31540298
"Generic","1 Grindstone",2.899327612
"Farm Animals","8 head of Cattle",434.8991418
"Farm Animals","hoggs at the Quarter",42.52347164
"Chamber Pots","1 Close Stool 1 bed pan & 4 plates",28.99327612
"Silver Plate","2 Oz. of Plate",17.39596567
"Cookware","Bottles",328.7515364
"Generic","Copper",247.8925108
"Diningware","3 doz of drinking Glasses",28.99327612
"Farm Animals","1 Cart 4 horses & harness",657.1809254
"Farm Animals","1 Grey Colt",77.31540298
"Farm Animals","1 Small Grey horse",135.3019552
"Farm Animals","2 Coach horses",463.8924179
"Farm Animals","Mrs. Marrotts Riding horse",231.946209
"Farm Animals","1 Grey Mare & Colt",57.98655224
"Farm Animals","1 Young black horse",57.98655224
"Farm Animals","1 Young Mare & Colt",135.3019552
"Farm Animals","Saddle",19.32885075
"Farm Animals","Coach Harness",154.630806
"Farm Animals","10 Sheep",115.9731045
"Farm Animals","1 Coach",541.2078209
"Farm Animals","1 New Saddle & bridle",96.64425373
"Hunt/War","1 Saddle Pistoll & Sword",48.32212686
"Cookware","1 Warming pan",19.32885075
"Brew","2 Stills",833.0734671
"Generic","1 Trevett",19.32885075
"Generic","Lumber",9.664425373
"Cookware","1 Iron pott",25.77180099
"Food","13 Bushells of Salt 20d",41.87917662
"Cookware","2 Brass Kettles",96.64425373
"Generic","To Sundrys in the Milk house",133.3690701
"Generic","Lumber in the yard",19.32885075
"Generic","To Sundry Goods in the Billiard Room",115.9731045
"Cookware","1 New brass Kettle",215.8388333
"Generic","100 lb. of old Pewter 8d",128.859005
"Silver Plate","8 doz. of Plates 12/",185.5569672
"Generic","192 lb. of new Pewter 10d",309.2616119
"Generic","1 Jack",38.65770149
"Cookware","3 Skillets qty. 34 lb",82.14761567
"Generic","3 Do. brass",48.32212686
"Cookware","3 Copper potts",19.32885075
"Cookware","1 brass Sauce pan",7.731540298
"Generic","109 lb. of new brass",210.6844731
"Generic","41 lb. of old Do",39.62414403
"Tea","1 Tea Kettle & Revett",24.16106343
"Cookware","1 pestle mortar & Chaffing dish",38.65770149
"Generic","8 lb. Brass",15.4630806
"Cookware","1 marble mortar",38.65770149
"Generic","2 Grid Irons & other Irons",15.4630806
"Interior Lighting","3 pr. Candlesticks & Snuffers",43.48991418
"Interior Lighting","4 pr. old Candlesticks",19.32885075
"Diningware","2 Doz. knives & forks",57.98655224
"Cookware","1 doz. Small patty pans",5.798655224
"Interior Lighting","3 brass Candlesticks",4.832212686
"Cookware","5 Spitts",33.82548881
"Generic","The Iron work in the Kitchen Chimney",115.9731045
"Generic","4 pr. pott",7.731540298
"Generic","2 Iron potts with [88 1X?]",15.94630187
"Cookware","3 Ladles & Scuars",15.4630806
"Cookware","1 Iron Kettle 21 lb",13.53019552
"Dairy","1 Turn Dish & Turn plate",14.49663806
"Cookware","1 Choppin knife",7.731540298
"Cookware","3 frying pans",5.798655224
"Generic","To Sundry Goods Kitchen Shed",54.12078209
"Generic","To Do",53.15433955
"Diningware","Knives & forks Old",5.798655224
"Slaves","Su & her four Children",3285.904627
"Slaves","Mary",966.4425373
"Slaves","Jenny",1353.019552
"Slaves","Betty",579.8655224
"Slaves","Nan",193.2885075
"Slaves","Brumfield",231.946209
"Slaves","Joseph Wattle",115.9731045
"Farm Animals","3 Hoggs in Town",48.32212686
